t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 977.688, 219.387, 0.0690003, 0.997617, 0, 0, -0.0371673, 0, 0, 0
0, 0, 977.2, 219.506, 0.0309391, 0.999521, 0.491966, 0, 1.35617, 0, 0, 0
0, 0, 976.678, 219.551, 0.0370983, 0.999312, 0.948944, 0, -1.91341, -0.0343797, 0, 0
0, 0, 976.152, 219.605, 0.0505495, 0.998722, 0.972591, 0, 1.25419, -0.0623524, 0, 0
0, 0, 975.614, 219.726, 0.0779862, 0.996954, 1.13695, 0, 2.94401, -0.131985, 0, 0
0, 0, 975.123, 219.863, 0.115051, 0.99336, 1.30628, 0, 6.24261, -0.172756, 0, 0
0, 0, 974.646, 220.068, 0.155859, 0.987779, 1.08214, 0, -1.93991, -0.197087, 0, 0
0, 0, 974.176, 220.325, 0.212963, 0.97706, 1.0186, 0, -4.95633, -0.245884, 0, 0
0, 0, 973.771, 220.648, 0.267607, 0.963528, 1.12266, 0, 3.68481, -0.25928, 0, 0
0, 0, 973.379, 221.024, 0.329838, 0.944038, 1.18437, 0, -2.51384, -0.270898, 0, 0
0, 0, 973.054, 221.405, 0.385538, 0.922692, 1.17117, 0, 1.33837, -0.258089, 0, 0
0, 0, 972.772, 221.875, 0.438666, 0.89865, 1.23259, 0, -1.68055, -0.251861, 0, 0
0, 0, 972.503, 222.374, 0.48724, 0.873268, 1.274, 0, -1.2313, -0.227451, 0, 0
0, 0, 972.323, 222.857, 0.526205, 0.850358, 1.3402, 0, -1.52465, -0.227027, 0, 0
0, 0, 972.174, 223.365, 0.559838, 0.828602, 1.5372, 0, -0.024385, -0.216373, 0, 0
0, 0, 972.016, 223.917, 0.591033, 0.806647, 1.69189, 0, 0.604271, -0.193459, 0, 0
0, 0, 971.902, 224.471, 0.617993, 0.786184, 1.76703, 0, 1.54735, -0.191714, 0, 0
0, 0, 971.82, 225.025, 0.637206, 0.770693, 2.03695, 0, -10.7934, -0.164584, 0, 0
