t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,948.638,213.896,0.999988,0.0048936,1.2,0,0.5,0,0,0
0,0,949.175,213.88,0.99967,0.0256761,1.2,0,0.5,0.229931,0,0
0,0,949.672,213.954,0.999682,0.0252177,1.2,0,0.5,0,0,0
0,0,950.223,213.984,0.999533,0.0305526,1.2,0,0.5,0.0262643,0,0
0,0,950.779,214.025,0.998937,0.0460913,1.2,0,0.5,0.0712996,0,0
0,0,951.298,214.135,0.997265,0.0739055,1.2,0,0.5,0.117375,0,0
0,0,951.798,214.269,0.993633,0.112668,1.2,0,0.5,0.151404,0,0
0,0,952.277,214.469,0.987147,0.159814,1.2,0,0.5,0.212136,0,0
0,0,952.731,214.74,0.97645,0.215745,1.2,0,0.5,0.283223,0,0
0,0,953.137,215.044,0.961707,0.27408,1.5,0,1.39757,0.315164,0,0
0,0,953.564,215.496,0.939088,0.343676,1.5,0,-1.35532,0.327067,0,0
0,0,953.866,215.931,0.915009,0.403433,1.5,0,1.95715,0.33592,0,0
0,0,954.162,216.468,0.884561,0.466424,1.5,0,0.697722,0.299956,0,0
0,0,954.369,216.984,0.855922,0.517105,1.5,0,0.605414,0.283371,0,0
0,0,954.538,217.464,0.830961,0.556331,1.5,0,-0.810873,0.260508,0,0
0,0,954.69,218.066,0.803716,0.595014,1.57073,0,-0.767164,0.217798,0,0
0,0,954.777,218.627,0.782892,0.622158,1.60391,0,-1.11816,0.172239,0,0
0,0,954.852,219.185,0.766473,0.642277,1.73742,0,0.0338159,0.142881,0,0
0,0,954.91,219.761,0.752215,0.658918,1.66669,0,2.32371,0.120328,0,0
0,0,954.953,220.341,0.73982,0.672805,1.6786,0,0.59868,0.0947546,0,0
0,0,954.982,220.917,0.730989,0.68239,1.59243,0,-1.12106,0.0643441,0,0
0,0,955.005,221.427,0.726624,0.687036,1.70102,0,-0.631048,0.0326844,0,0
0,0,955.023,222.011,0.723759,0.690053,1.74916,0,-0.374073,0.020374,0,0
0,0,955.055,222.62,0.722856,0.690999,1.81899,0,2.25376,0.010407,0,0
0,0,955.064,223.176,0.721293,0.69263,1.78065,0,1.23258,0.0155734,0,0
0,0,955.076,223.717,0.718572,0.695452,1.88331,0,-0.943512,0.0352324,0,0
0,0,955.081,224.255,0.716778,0.697302,1.79952,0,-0.221265,0.0159593,0,0
0,0,955.098,224.816,0.71425,0.699891,1.88152,0,1.34469,0.0242063,0,0
0,0,955.123,225.466,0.711967,0.702213,1.92022,0,-1.03185,0.0179978,0,0
0,0,955.133,226.142,0.710647,0.703548,2.07649,0,-0.838447,0.0152285,0,0
0,0,955.122,226.851,0.709541,0.704664,2.08643,0,-2.89974,0,0,0
0,0,955.135,227.55,0.707605,0.706608,2.15676,0,3.64523,0.0123068,0,0
0,0,955.124,228.069,0.706581,0.707632,1.99936,0,-3.74869,0,0,0
0,0,955.113,228.602,0.704937,0.70927,2.34862,0,4.52295,0.0242148,0,0
0,0,955.122,229.184,0.703551,0.710645,1.98761,0,3.03053,0.0176241,0,0
0,0,955.137,229.771,0.701619,0.712553,1.97311,0,3.71906,0,0,0
0,0,955.126,230.287,0.701119,0.713044,2.07374,0,0.432321,0,0,0
0,0,955.123,230.84,0.699994,0.714148,1.95578,0,1.92275,0,0,0
0,0,955.093,231.446,0.699036,0.715087,1.93009,0,0.210599,0.0131403,0,0
0,0,955.075,232.034,0.698486,0.715623,1.94789,0,-0.024967,0,0,0
0,0,955.073,232.659,0.697952,0.716145,1.71269,0,-0.380159,0,0,0
0,0,955.061,233.214,0.696689,0.717374,1.9337,0,2.00141,0,0,0
0,0,955.051,233.847,0.696562,0.717496,1.83103,0,-0.58749,0,0,0
0,0,955.007,234.457,0.69579,0.718245,1.73048,0,1.0184,0,0,0
0,0,954.984,235.002,0.6935,0.720457,1.75763,0,0.0949872,0.0232594,0,0
0,0,954.975,235.539,0.688406,0.725325,1.80604,0,1.5097,0.0504139,0,0
0,0,954.921,236.073,0.67806,0.735006,1.75694,0,1.12936,0.111053,0,0
0,0,954.823,236.573,0.664282,0.747482,1.58352,0,-2.9124,0.128076,0,0
0,0,954.738,237.074,0.647951,0.761682,1.61706,0,1.7314,0.144399,0,0
0,0,954.601,237.654,0.625179,0.780481,1.64412,0,-2.31172,0.174986,0,0
0,0,954.391,238.184,0.598304,0.801269,1.74326,0,-1.47212,0.203478,0,0
0,0,954.171,238.68,0.56549,0.824755,1.64342,0,0.5337,0.271469,0,0
0,0,953.854,239.209,0.52602,0.850472,1.6136,0,-0.228159,0.247392,0,0
0,0,953.564,239.619,0.485049,0.874487,1.56074,0,7.08887,0.260387,0,0
0,0,953.201,239.997,0.441051,0.897482,1.42021,0,0.42196,0.297407,0,0
0,0,952.786,240.349,0.388526,0.921438,1.32721,0,-0.56626,0.278028,0,0
0,0,952.356,240.625,0.341624,0.939837,1.41788,0,5.37007,0.282575,0,0
0,0,951.858,240.901,0.288004,0.957629,1.47787,0,1.83781,0.269487,0,0
0,0,951.316,241.088,0.236869,0.971542,1.77547,0,-7.61244,0.240828,0,0
0,0,950.805,241.252,0.188476,0.982078,1.58743,0,-3.87736,0.241043,0,0
0,0,950.276,241.344,0.142299,0.989824,1.51765,0,4.50249,0.222032,0,0
0,0,949.756,241.429,0.103702,0.994608,1.73484,0,-1.88459,0.248247,0,0
0,0,949.207,241.438,0.0636897,0.99797,1.48872,0,-1.77714,0.208773,0,0
