t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,904.022,230.573,0.992849,0.119379,5.48923,0,-2.90566,-0.208685,0,0
0,0,904.139,231.209,0.994152,0.107991,6.62925,0,17.3388,-0.228918,0,0
0,0,904.194,231.959,0.99509,0.09897,7.47981,0,-0.830263,-0.177496,0,0
0,0,904.183,233.086,0.996296,0.0859947,11.9993,0,96.5887,-0.27285,0,0
0,0,904.442,233.714,0.997477,0.0709848,13.807,0,4.91682,-0.510651,0,0
0,0,904.832,234.218,0.998396,0.0566142,6.2284,0,-58.9977,-0.283157,0,0
0,0,904.682,233.683,0.997757,0.0669437,-6.24204,0,-2.18753,0.213959,0,0
0,0,905.189,233.812,0.997585,0.069452,0.569169,0,1.24506,0.0102079,0,0
0,0,905.689,233.888,0.997527,0.0702888,0.697423,0,-2.6231,0,0,0
0,0,906.204,233.927,0.997473,0.0710533,0.611204,0,-2.25725,0,0,0
0,0,906.714,234.004,0.997378,0.0723616,1.18487,0,-1.73528,0,0,0
0,0,907.223,234.076,0.997281,0.0736895,1.08931,0,-1.44859,0,0,0
0,0,907.762,234.15,0.997162,0.075286,1.24687,0,-0.0457107,0.0114467,0,0
0,0,908.279,234.218,0.996985,0.0775932,1.28331,0,4.40167,0.0282789,0,0
0,0,908.795,234.293,0.997032,0.0769885,1.28054,0,-1.78931,0,0,0
0,0,909.311,234.378,0.996891,0.0787896,1.22895,0,1.70612,0,0,0
0,0,909.808,234.457,0.996911,0.0785458,1.38137,0,0.217743,0,0,0
0,0,910.329,234.54,0.996844,0.0793889,1.38739,0,1.52328,0,0,0
0,0,910.876,234.617,0.996842,0.0794064,1.27156,0,1.37841,0,0,0
0,0,911.385,234.699,0.996814,0.0797566,1.54917,0,-0.247529,0,0,0
0,0,911.917,234.761,0.996898,0.0787103,1.49854,0,-0.413446,-0.0179305,0,0
0,0,912.455,234.837,0.99686,0.0791817,1.79559,0,8.99225,0,0,0
0,0,913.011,234.927,0.996862,0.0791638,1.54962,0,0.650417,0,0,0
0,0,913.523,235.037,0.996919,0.078439,1.58528,0,-0.388701,-0.0202445,0,0
0,0,914.039,235.073,0.996964,0.0778594,1.43544,0,-9.64269,0,0,0
0,0,914.532,235.172,0.99696,0.0779211,1.67508,0,-5.77085,0,0,0
0,0,915.042,235.233,0.99697,0.0777835,1.71999,0,4.69924,0,0,0
0,0,915.557,235.344,0.996872,0.0790272,1.82346,0,-2.84252,0,0,0
0,0,916.104,235.467,0.996148,0.0876912,1.63692,0,-1.8483,0.0551542,0,0
0,0,916.637,235.557,0.994815,0.101702,1.85195,0,9.82954,0.0748987,0,0
0,0,917.134,235.711,0.992843,0.119423,1.41819,0,1.35635,0.0983786,0,0
0,0,917.665,235.903,0.989503,0.144509,1.60211,0,-10.5495,0.167053,0,0
0,0,918.142,236.115,0.982405,0.186762,1.53776,0,-0.147412,0.268651,0,0
0,0,918.573,236.377,0.971165,0.238407,1.59238,0,2.44271,0.306462,0,0
0,0,918.931,236.731,0.955528,0.294902,1.68852,0,11.3027,0.330432,0,0
0,0,919.248,237.135,0.931841,0.362866,1.05322,0,-27.5924,0.356115,0,0
0,0,919.521,237.566,0.907429,0.420205,1.56395,0,-4.6897,0.352739,0,0
0,0,919.759,238.061,0.874936,0.484239,1.49524,0,-3.98724,0.365697,0,0
0,0,919.919,238.57,0.837848,0.545904,1.60344,0,1.58445,0.369943,0,0
0,0,919.988,239.102,0.800393,0.599476,1.43682,0,-2.53182,0.317586,0,0
0,0,920.01,239.622,0.764614,0.644489,1.30921,0,-14.1572,0.259318,0,0
0,0,919.997,240.16,0.730195,0.683238,1.4583,0,-2.11256,0.254904,0,0
0,0,919.958,240.664,0.701468,0.712701,1.42417,0,8.71313,0.186991,0,0
0,0,919.869,241.204,0.677411,0.735605,1.4734,0,0.486744,0.159252,0,0
0,0,919.805,241.722,0.657528,0.75343,0.653155,0,1.66293,0.0631585,0,0
