t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 822.844, 157.469, 0.0723123, 0.997382, 0, 0, -0.0071957, 0, 0, 0
0, 0, 823.314, 157.155, 0.0769047, 0.997038, -3.19278, 0, 9.1851, -0.0635127, 0, 0
0, 0, 823.474, 157.666, 0.0910618, 0.995845, -2.04545, 0, -14.208, -0.0682761, 0, 0
0, 0, 824.042, 158.004, 0.101536, 0.994832, -3.14842, 0, 1.19281, -0.0895195, 0, 0
0, 0, 824.621, 158.003, 0.106895, 0.99427, -3.94418, 0, -1.48961, -0.0731929, 0, 0
0, 0, 825.321, 158.163, 0.11038, 0.993889, -5.74065, 0, -53.8054, -0.0221005, 0, 0
0, 0, 826.078, 158.609, 0.105979, 0.994368, -8.69429, 0, 12.1057, 0.099617, 0, 0
0, 0, 826.934, 159.119, 0.0975764, 0.995228, -9.54249, 0, -15.9208, 0.154501, 0, 0
0, 0, 827.793, 159.686, 0.0835645, 0.996502, -10.2609, 0, 4.5795, 0.293041, 0, 0
0, 0, 828.74, 160.222, 0.0646019, 0.997911, -10.8289, 0, -10.0032, 0.368315, 0, 0
0, 0, 829.681, 160.2, 0.0452458, 0.998976, -9.90264, 0, -21.3894, 0.389831, 0, 0
0, 0, 830.328, 159.995, 0.0333279, 0.999444, -11.9691, 0, -49.1635, 0.431231, 0, 0
0, 0, 831.002, 159.764, 0.0228997, 0.999738, -13.7637, 0, -27.7579, 0.427762, 0, 0
0, 0, 831.858, 159.465, 0.0087455, 0.999962, -16.8525, 0, -78.8884, 0.516874, 0, 0
0, 0, 833.555, 159.126, 0.0302448, -0.999543, -18.107, 0, 0.908832, 0.73229, 0, 0
0, 0, 834.271, 159.087, 0.0475053, -0.998871, -14.9671, 0, 87.1255, 0.701624, 0, 0
0, 0, 835.78, 159.274, 0.0826784, -0.996576, -10.1561, 0, 3.21914, 0.469204, 0, 0
0, 0, 836.369, 159.226, 0.0982757, -0.995159, -5.87169, 0, 8.13531, 0.308211, 0, 0
0, 0, 836.803, 159.696, 0.110142, -0.993916, -3.95984, 0, -12.6523, 0.0578306, 0, 0
0, 0, 836.694, 160.498, 0.109678, -0.993967, -5.37251, 0, 13.1038, 0, 0, 0
0, 0, 836.079, 160.315, 0.0893973, -0.995996, 4.11754, 0, 22.9476, -0.129896, 0, 0
0, 0, 835.386, 159.727, 0.0675002, -0.997719, 9.66116, 0, 59.2966, -0.475891, 0, 0
0, 0, 834.721, 159.427, 0.0533256, -0.998577, 13.1963, 0, 75.5651, -0.557323, 0, 0
0, 0, 833.846, 159.092, 0.0343721, -0.999409, 17.1523, 0, 79.477, -0.686744, 0, 0
0, 0, 833.294, 158.951, 0.0235545, -0.999723, 13.8326, 0, -140.694, -0.539739, 0, 0
0, 0, 832.166, 159.031, 0.00259008, -0.999997, 7.77493, 0, -19.2636, -0.28772, 0, 0
0, 0, 833.008, 159.165, 0.0180295, -0.999837, -9.3505, 0, -81.8432, 0.354283, 0, 0
0, 0, 833.646, 159.104, 0.0307794, -0.999526, -7.87324, 0, 43.2775, 0.307681, 0, 0
0, 0, 833.123, 159.091, 0.0312725, -0.999511, 0.6271, 0, 0.243902, 0, 0, 0
0, 0, 832.611, 159.05, 0.032944, -0.999457, 0.824742, 0, 1.78363, 0, 0, 0
0, 0, 832.062, 158.995, 0.0338545, -0.999427, 1.03996, 0, 2.35471, 0, 0, 0
0, 0, 831.553, 158.976, 0.0336111, -0.999435, 1.00734, 0, 0.152934, 0, 0, 0
0, 0, 831.032, 158.939, 0.032502, -0.999472, 1.12732, 0, -1.03686, -0.0107245, 0, 0
0, 0, 830.527, 158.915, 0.0310587, -0.999518, 1.06617, 0, -1.98907, 0, 0, 0
0, 0, 829.969, 158.886, 0.0288834, -0.999583, 1.21593, 0, -2.80293, -0.0120849, 0, 0
0, 0, 829.44, 158.859, 0.0266112, -0.999646, 1.16255, 0, 2.527, -0.0135965, 0, 0
0, 0, 828.906, 158.831, 0.0242664, -0.999706, 1.16816, 0, 2.50584, -0.0142763, 0, 0
0, 0, 828.386, 158.804, 0.0210832, -0.999778, 1.32901, 0, 2.23435, -0.0217544, 0, 0
0, 0, 827.841, 158.779, 0.0157652, -0.999876, 1.4138, 0, -3.52605, -0.0328657, 0, 0
0, 0, 827.289, 158.806, 0.00501221, -0.999987, 1.35182, 0, -0.998686, -0.0611561, 0, 0
0, 0, 826.747, 158.826, 0.00960629, 0.999954, 1.43494, 0, 3.54797, -0.0913421, 0, 0
0, 0, 826.227, 158.877, 0.0277891, 0.999614, 1.59628, 0, -0.152579, -0.124869, 0, 0
