t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 822.706, 157.507, 0.0705726, 0.997507, 0, 0, 0.0233894, 0, 0, 0
0, 0, 822.232, 157.709, 0.0717396, 0.997423, 1.43363, 0, -3.15581, -0.0104114, 0, 0
0, 0, 822.508, 158.128, 0.0679054, 0.997692, 0.319306, 0, -0.778137, -0.0116722, 0, 0
0, 0, 823.044, 158.474, 0.0772955, 0.997008, -1.89378, 0, -7.67322, -0.100141, 0, 0
0, 0, 823.562, 158.593, 0.0909002, 0.99586, -3.6515, 0, -1.18944, -0.185984, 0, 0
0, 0, 824.148, 158.57, 0.111364, 0.99378, -3.82017, 0, -1.58576, -0.269712, 0, 0
0, 0, 824.992, 158.48, 0.136341, 0.990662, -5.69748, 0, -4.82057, -0.335182, 0, 0
0, 0, 826.003, 158.742, 0.155953, 0.987764, -6.98671, 0, -1.8674, -0.264785, 0, 0
0, 0, 826.857, 158.733, 0.176984, 0.984214, -5.69423, 0, -4.5379, -0.284157, 0, 0
0, 0, 827.532, 158.545, 0.201086, 0.979574, -4.67929, 0, -7.18268, -0.32722, 0, 0
0, 0, 828.049, 158.38, 0.215308, 0.976546, -3.70245, 0, 1.54201, -0.198144, 0, 0
0, 0, 828.464, 158.704, 0.222548, 0.974922, -3.5407, 0, -1.16611, -0.0842052, 0, 0
0, 0, 828.836, 159.081, 0.227022, 0.97389, -3.39889, 0, 10.0931, -0.0711427, 0, 0
0, 0, 829.382, 159.251, 0.233747, 0.972298, -2.36325, 0, 21.6234, -0.0743229, 0, 0
0, 0, 828.924, 159.018, 0.22549, 0.974245, 0.596248, 0, 6.85106, 0, 0, 0
0, 0, 828.356, 158.888, 0.222476, 0.974938, 2.24843, 0, -3.46354, 0.0208389, 0, 0
0, 0, 827.841, 158.996, 0.213556, 0.976931, 1.37927, 0, 5.18044, 0.12194, 0, 0
