t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 947.386, 224.289, 0.999976, 0.006918, 0, 0, 0.0644216, 0, 0, 0
0, 0, 947.995, 224.272, 0.999455, 0.0330193, 3.22577, 0, -9.54078, 0.283072, 0, 0
0, 0, 948.705, 224.142, 0.99891, 0.046672, 3.65449, 0, 1.41017, 0.123303, 0, 0
0, 0, 949.248, 223.98, 0.998829, 0.0483834, 1.40902, 0, -12.5238, -0.0418096, 0, 0
0, 0, 948.594, 224.079, 0.999328, 0.0366559, -3.10711, 0, -13.6149, -0.0967201, 0, 0
0, 0, 948.044, 224.161, 0.999646, 0.026593, -4.89262, 0, -20.218, -0.171181, 0, 0
0, 0, 947.436, 224.369, 0.999864, 0.0165036, -2.69602, 0, 26.6402, -0.0837796, 0, 0
0, 0, 947.953, 224.339, 0.999814, 0.0193022, 0.447759, 0, 0.0126935, 0, 0, 0
0, 0, 948.516, 224.371, 0.999682, 0.0252002, 0.749522, 0, 0.773442, 0.0207319, 0, 0
0, 0, 949.035, 224.399, 0.999207, 0.0398069, 1.06889, 0, -1.44082, 0.0622185, 0, 0
0, 0, 949.555, 224.481, 0.99793, 0.0643067, 1.01715, 0, -0.140096, 0.109868, 0, 0
0, 0, 950.068, 224.607, 0.995176, 0.098104, 1.35843, 0, -3.14254, 0.161264, 0, 0
0, 0, 950.593, 224.817, 0.990011, 0.140992, 1.23871, 0, 0.211173, 0.193068, 0, 0
0, 0, 951.068, 225.061, 0.981996, 0.188902, 1.12366, 0, 2.38085, 0.223158, 0, 0
0, 0, 951.517, 225.354, 0.970453, 0.241292, 1.17917, 0, -0.700055, 0.239521, 0, 0
0, 0, 951.924, 225.706, 0.9558, 0.294017, 1.29472, 0, 1.26641, 0.229429, 0, 0
0, 0, 952.304, 226.067, 0.938967, 0.344008, 1.24091, 0, 0.397263, 0.217185, 0, 0
0, 0, 952.633, 226.52, 0.919205, 0.393779, 1.24012, 0, 3.85542, 0.211378, 0, 0
0, 0, 952.938, 227.031, 0.895152, 0.44576, 1.15681, 0, -0.745791, 0.202418, 0, 0
0, 0, 953.18, 227.492, 0.873832, 0.486228, 1.29843, 0, 5.83797, 0.20002, 0, 0
0, 0, 953.383, 227.992, 0.851068, 0.525055, 1.1846, 0, -11.0567, 0.204926, 0, 0
0, 0, 953.533, 228.486, 0.830984, 0.556297, 1.38117, 0, -2.54539, 0.186367, 0, 0
0, 0, 953.683, 229.084, 0.805881, 0.592077, 1.24538, 0, -1.27817, 0.16826, 0, 0
0, 0, 953.791, 229.606, 0.784198, 0.620511, 1.09455, 0, 1.58001, 0.143421, 0, 0
0, 0, 953.861, 230.127, 0.764985, 0.644048, 1.18277, 0, 6.8017, 0.125853, 0, 0
0, 0, 953.892, 230.69, 0.749609, 0.661881, 1.28389, 0, 2.15433, 0.0871348, 0, 0
0, 0, 953.927, 231.206, 0.738663, 0.674074, 1.28575, 0, -0.216818, 0.0686911, 0, 0
0, 0, 953.941, 231.707, 0.730726, 0.682671, 1.39372, 0, -0.851437, 0.0573056, 0, 0
0, 0, 953.961, 232.264, 0.723715, 0.690099, 1.22861, 0, 0.51642, 0.0493463, 0, 0
0, 0, 953.984, 232.829, 0.71905, 0.694959, 1.36688, 0, -1.18686, 0.030572, 0, 0
0, 0, 953.994, 233.453, 0.713733, 0.700418, 1.37858, 0, 0.64565, 0.0294026, 0, 0
0, 0, 953.982, 234.023, 0.70766, 0.706553, 1.54362, 0, 2.46519, 0.0470887, 0, 0
0, 0, 953.931, 234.657, 0.696802, 0.717264, 1.38306, 0, 0.902868, 0.0699505, 0, 0
0, 0, 953.901, 235.256, 0.684737, 0.72879, 1.58911, 0, 1.57654, 0.0812298, 0, 0
0, 0, 953.851, 235.783, 0.673047, 0.7396, 1.52239, 0, 2.8258, 0.0882773, 0, 0
0, 0, 953.75, 236.31, 0.658549, 0.752538, 1.55169, 0, 0.0319075, 0.118308, 0, 0
0, 0, 953.63, 236.808, 0.638503, 0.76962, 1.53196, 0, -2.20917, 0.162831, 0, 0
0, 0, 953.492, 237.301, 0.614393, 0.789, 1.52821, 0, 1.35686, 0.203697, 0, 0
0, 0, 953.299, 237.787, 0.584986, 0.811043, 1.4154, 0, 3.44503, 0.224733, 0, 0
0, 0, 953.065, 238.248, 0.55172, 0.83403, 1.57616, 0, 7.46703, 0.248711, 0, 0
0, 0, 952.747, 238.725, 0.510718, 0.859748, 1.45265, 0, -0.28791, 0.248234, 0, 0
0, 0, 952.423, 239.13, 0.467352, 0.884071, 1.27082, 0, -6.50408, 0.230637, 0, 0
0, 0, 952.001, 239.58, 0.412344, 0.911028, 1.25679, 0, -2.2879, 0.264683, 0, 0
0, 0, 951.533, 239.868, 0.360283, 0.932843, 1.36556, 0, 2.93007, 0.279089, 0, 0
0, 0, 951.075, 240.137, 0.307376, 0.951588, 1.62192, 0, 25.0922, 0.275714, 0, 0
0, 0, 950.577, 240.323, 0.251349, 0.967896, 1.24162, 0, -1.23804, 0.286293, 0, 0
0, 0, 950.078, 240.481, 0.194691, 0.980865, 1.43969, 0, -3.73836, 0.300936, 0, 0
0, 0, 949.58, 240.549, 0.137957, 0.990438, 1.34046, 0, -1.83418, 0.284313, 0, 0
0, 0, 949.069, 240.612, 0.0904021, 0.995905, 1.51538, 0, -1.63782, 0.264938, 0, 0
0, 0, 948.5, 240.598, 0.0435153, 0.999053, 1.5372, 0, 13.667, 0.226663, 0, 0
0, 0, 947.93, 240.587, 0.00558535, 0.999984, 1.59068, 0, -5.84461, 0.208052, 0, 0
0, 0, 947.382, 240.563, 0.0241784, -0.999708, 1.75944, 0, -6.7952, 0.184708, 0, 0
0, 0, 946.81, 240.44, 0.0491942, -0.998789, 2.01629, 0, -0.674776, 0.151362, 0, 0
0, 0, 946.287, 240.368, 0.0625565, -0.998041, 2.27257, 0, 0.904809, 0.104161, 0, 0
0, 0, 945.733, 240.289, 0.0703956, -0.997519, 2.15816, 0, 0.684282, 0.036576, 0, 0
0, 0, 945.206, 240.189, 0.0761188, -0.997099, 2.05314, 0, -4.63734, 0.0395259, 0, 0
0, 0, 944.593, 240.095, 0.077883, -0.996962, 2.44273, 0, -0.418132, 0, 0, 0
0, 0, 944.041, 240.01, 0.0790659, -0.996869, 2.2996, 0, -1.32609, 0.0166428, 0, 0
0, 0, 943.447, 239.922, 0.079864, -0.996806, 2.48428, 0, 1.17688, 0, 0, 0
0, 0, 942.876, 239.811, 0.0803295, -0.996768, 2.1763, 0, -6.13077, 0, 0, 0
0, 0, 942.288, 239.723, 0.0787683, -0.996893, 2.32482, 0, -5.6641, -0.0189939, 0, 0
0, 0, 941.72, 239.642, 0.078384, -0.996923, 2.24533, 0, 4.63083, -0.0153482, 0, 0
0, 0, 941.129, 239.532, 0.077286, -0.997009, 2.28542, 0, -0.803647, 0, 0, 0
0, 0, 940.556, 239.446, 0.0765213, -0.997068, 2.42862, 0, 0.188236, 0, 0, 0
0, 0, 940.015, 239.368, 0.0757508, -0.997127, 2.16038, 0, 0.965693, -0.0148208, 0, 0
0, 0, 939.423, 239.292, 0.0736229, -0.997286, 2.32233, 0, 4.49154, -0.0116387, 0, 0
0, 0, 938.888, 239.213, 0.072158, -0.997393, 2.26945, 0, -1.01553, -0.0113024, 0, 0
0, 0, 938.216, 239.101, 0.0708984, -0.997484, 2.14401, 0, 6.34849, 0, 0, 0
0, 0, 937.647, 239.025, 0.0703482, -0.997522, 2.33043, 0, -1.50315, 0, 0, 0
0, 0, 937.095, 238.957, 0.0701478, -0.997537, 2.27513, 0, -1.46462, 0, 0, 0
0, 0, 936.531, 238.864, 0.0706313, -0.997503, 2.20515, 0, 2.5785, 0, 0, 0
0, 0, 935.991, 238.792, 0.0696303, -0.997573, 2.40382, 0, 13.5146, -0.0133391, 0, 0
0, 0, 935.418, 238.718, 0.0698445, -0.997558, 2.0628, 0, -2.04824, 0, 0, 0
0, 0, 934.858, 238.628, 0.0696112, -0.997574, 2.23077, 0, 5.15538, 0, 0, 0
0, 0, 934.193, 238.544, 0.0689787, -0.997618, 2.27433, 0, -6.64247, -0.0102614, 0, 0
0, 0, 933.63, 238.458, 0.0693904, -0.99759, 2.33204, 0, 3.07319, 0.0110407, 0, 0
0, 0, 933.063, 238.392, 0.0691594, -0.997606, 2.44001, 0, 9.45561, 0, 0, 0
0, 0, 932.364, 238.299, 0.0692673, -0.997598, 2.41893, 0, -2.92391, 0, 0, 0
0, 0, 931.809, 238.203, 0.0695069, -0.997581, 2.29597, 0, 0.993074, 0, 0, 0
0, 0, 931.249, 238.14, 0.0695578, -0.997578, 2.11547, 0, 2.80759, 0, 0, 0
0, 0, 930.645, 238.06, 0.070491, -0.997512, 2.48737, 0, -1.28801, 0.0102863, 0, 0
0, 0, 930.116, 237.975, 0.0698323, -0.997559, 2.22561, 0, 1.53217, 0, 0, 0
0, 0, 929.532, 237.893, 0.0698366, -0.997558, 2.25713, 0, -2.75418, 0, 0, 0
0, 0, 928.977, 237.812, 0.0691195, -0.997608, 2.28946, 0, 3.93089, 0, 0, 0
0, 0, 928.392, 237.733, 0.0691768, -0.997604, 2.26479, 0, 1.76501, 0, 0, 0
0, 0, 927.804, 237.658, 0.0694269, -0.997587, 2.3625, 0, 5.06225, 0, 0, 0
0, 0, 927.25, 237.586, 0.0692643, -0.997598, 1.97495, 0, 1.60926, 0, 0, 0
0, 0, 926.747, 237.529, 0.0692143, -0.997602, 2.65972, 0, 4.71812, 0, 0, 0
0, 0, 926.198, 237.431, 0.0687806, -0.997632, 2.42147, 0, 12.582, 0, 0, 0
0, 0, 925.599, 237.359, 0.0688177, -0.997629, 2.37309, 0, -4.90915, 0.0110768, 0, 0
0, 0, 925.042, 237.261, 0.0685071, -0.997651, 2.45003, 0, 6.59953, 0, 0, 0
0, 0, 924.35, 237.193, 0.0676984, -0.997706, 2.29796, 0, 0.165506, 0, 0, 0
0, 0, 923.787, 237.139, 0.0678743, -0.997694, 2.23372, 0, -2.30091, 0, 0, 0
0, 0, 923.164, 237.038, 0.0668548, -0.997763, 2.09357, 0, 7.7671, 0, 0, 0
0, 0, 922.581, 236.967, 0.0672067, -0.997739, 2.17205, 0, -5.53015, 0, 0, 0
0, 0, 922.018, 236.893, 0.0667916, -0.997767, 2.36301, 0, 0.689529, 0, 0, 0
0, 0, 921.426, 236.839, 0.0664847, -0.997787, 2.13708, 0, -2.37459, 0, 0, 0
0, 0, 920.871, 236.765, 0.0660796, -0.997814, 2.40942, 0, 14.9284, 0, 0, 0
0, 0, 920.184, 236.656, 0.0649745, -0.997887, 2.09897, 0, 1.84079, 0, 0, 0
0, 0, 919.676, 236.602, 0.0645715, -0.997913, 1.92132, 0, -2.1704, -0.014795, 0, 0
0, 0, 919.147, 236.552, 0.0640672, -0.997946, 2.26144, 0, -2.71657, 0, 0, 0
0, 0, 918.642, 236.469, 0.0632048, -0.998001, 2.34884, 0, 17.7959, 0, 0, 0
0, 0, 917.981, 236.386, 0.0621454, -0.998067, 1.88548, 0, 0.718015, 0, 0, 0
0, 0, 917.458, 236.312, 0.0617841, -0.99809, 2.33797, 0, -4.16385, 0, 0, 0
0, 0, 916.86, 236.244, 0.0604731, -0.99817, 2.18651, 0, 7.44717, 0, 0, 0
0, 0, 916.302, 236.175, 0.0590439, -0.998255, 2.05235, 0, 0.192549, -0.0157015, 0, 0
0, 0, 915.803, 236.111, 0.0575855, -0.998341, 1.94429, 0, 4.09032, 0, 0, 0
0, 0, 915.224, 236.061, 0.056447, -0.998406, 1.84189, 0, -11.8762, -0.015525, 0, 0
0, 0, 914.641, 235.998, 0.0559326, -0.998435, 2.12412, 0, 5.96739, 0, 0, 0
0, 0, 914.078, 235.933, 0.0553411, -0.998468, 1.76246, 0, -1.31062, 0, 0, 0
0, 0, 913.576, 235.86, 0.0560669, -0.998427, 2.06082, 0, 1.44331, 0, 0, 0
