t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 977.656, 219.392, 0.0714685, 0.997443, 0, 0, 0.0407836, 0, 0, 0
0, 0, 977.084, 219.54, 0.0534615, 0.99857, 3.99975, 0, 14.1687, 0.268818, 0, 0
0, 0, 976.59, 219.404, 0.0564238, -0.998407, 0.555917, 0, -1.21069, 0.0213275, 0, 0
0, 0, 976.081, 219.314, 0.0572347, -0.998361, 0.611311, 0, 0.0207969, 0.0115506, 0, 0
0, 0, 975.57, 219.254, 0.0542169, -0.998529, 0.676445, 0, -0.901486, -0.0318968, 0, 0
0, 0, 975.045, 219.231, 0.0425295, -0.999095, 1.09029, 0, -0.146584, -0.0482372, 0, 0
0, 0, 974.508, 219.214, 0.0180794, -0.999837, 1.03327, 0, 0.960741, -0.087612, 0, 0
0, 0, 973.98, 219.285, 0.019717, 0.999806, 1.13321, 0, -3.6633, -0.195686, 0, 0
0, 0, 973.48, 219.358, 0.0676746, 0.997707, 0.845756, 0, -0.616569, -0.202598, 0, 0
0, 0, 972.999, 219.549, 0.127479, 0.991841, 0.874875, 0, 1.56113, -0.174482, 0, 0
0, 0, 972.544, 219.807, 0.198187, 0.980164, 0.772603, 0, 1.64188, -0.188893, 0, 0
0, 0, 972.116, 220.13, 0.267664, 0.963512, 0.887813, 0, 0.864134, -0.217911, 0, 0
0, 0, 971.776, 220.515, 0.330992, 0.943634, 0.899287, 0, 1.10071, -0.219127, 0, 0
0, 0, 971.446, 220.931, 0.394823, 0.918757, 1.1081, 0, 7.85087, -0.244267, 0, 0
0, 0, 971.194, 221.434, 0.460769, 0.88752, 1.22092, 0, 6.48269, -0.252455, 0, 0
0, 0, 971.012, 221.903, 0.521016, 0.853547, 1.14433, 0, 4.62138, -0.261259, 0, 0
0, 0, 970.878, 222.417, 0.574157, 0.818745, 0.844507, 0, 5.8337, -0.193396, 0, 0
0, 0, 970.787, 222.911, 0.607606, 0.794238, 1.03299, 0, -7.98827, -0.152316, 0, 0
0, 0, 970.691, 223.463, 0.637034, 0.770835, 1.34887, 0, 9.87144, -0.153993, 0, 0
0, 0, 970.669, 223.98, 0.659903, 0.75135, 1.11815, 0, 1.0485, -0.13663, 0, 0
0, 0, 970.634, 224.538, 0.677112, 0.73588, 1.33045, 0, 2.01203, -0.0960525, 0, 0
0, 0, 970.609, 225.106, 0.689865, 0.723938, 1.43815, 0, 5.63106, -0.0614528, 0, 0
0, 0, 970.633, 225.65, 0.696942, 0.717128, 1.29889, 0, -1.33503, -0.0344163, 0, 0
0, 0, 970.611, 226.179, 0.700977, 0.713184, 1.45497, 0, 0.363977, -0.0187965, 0, 0
0, 0, 970.628, 226.695, 0.702067, 0.712111, 1.52764, 0, 2.11849, -0.0111903, 0, 0
0, 0, 970.641, 227.239, 0.702813, 0.711375, 1.39172, 0, 7.8327, -0.0140022, 0, 0
0, 0, 970.637, 227.74, 0.703262, 0.71093, 1.71909, 0, 0.611214, -0.0191402, 0, 0
0, 0, 970.609, 228.251, 0.703578, 0.710618, 1.43505, 0, 1.33315, 0, 0, 0
0, 0, 970.588, 228.772, 0.703529, 0.710666, 1.7499, 0, -1.4352, -0.0116917, 0, 0
0, 0, 970.602, 229.291, 0.704478, 0.709726, 1.44027, 0, -8.22627, 0, 0, 0
