t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,592.06,69.1883,0.403094,0.915158,2.05936,0,-1.4608,0.0190554,0,0
0,0,591.693,69.5719,0.401937,0.915667,2.06929,0,0.0929388,0.0145673,0,0
0,0,591.301,69.9469,0.401257,0.915965,2.20261,0,5.38596,0,0,0
0,0,590.932,70.3449,0.399928,0.916547,2.00192,0,3.60048,0.0114772,0,0
0,0,590.53,70.7273,0.398893,0.916997,2.27247,0,2.18575,0.0207842,0,0
0,0,590.114,71.1936,0.397089,0.91778,2.15162,0,0.94025,0.0111832,0,0
0,0,589.778,71.5693,0.395774,0.918348,1.95258,0,-4.93234,0,0,0
0,0,589.408,71.9333,0.395118,0.91863,2.08751,0,2.86123,0,0,0
0,0,589.051,72.3159,0.394844,0.918748,1.9882,0,-1.63641,0,0,0
0,0,588.696,72.6796,0.394581,0.918861,2.00225,0,2.26667,0,0,0
0,0,588.335,73.0568,0.394236,0.919009,2.03501,0,-1.70058,0,0,0
0,0,587.984,73.4251,0.393586,0.919288,2.08944,0,0.444795,0.0152035,0,0
0,0,587.622,73.7914,0.392829,0.919612,2.00794,0,-1.20823,0,0,0
0,0,587.277,74.154,0.3903,0.920688,1.95376,0,-4.1638,0.0220798,0,0
0,0,586.854,74.5795,0.387977,0.921669,2.12771,0,-0.781177,0.0172717,0,0
0,0,586.448,74.9957,0.385066,0.922889,2.02293,0,3.64617,0.0135713,0,0
0,0,586.036,75.4235,0.383233,0.923652,1.87211,0,-0.813755,0,0,0
0,0,585.661,75.7697,0.381612,0.924323,2.04891,0,-2.72849,0,0,0
0,0,585.296,76.1382,0.380477,0.924791,2.01719,0,-2.50314,0,0,0
0,0,584.924,76.502,0.379362,0.925248,1.97692,0,-5.66696,0,0,0
0,0,584.57,76.8778,0.379893,0.92503,2.0565,0,0.00767672,0,0,0
0,0,584.195,77.239,0.380205,0.924902,2.08998,0,3.4866,0,0,0
0,0,583.835,77.5976,0.380982,0.924582,2.00184,0,-0.76083,0,0,0
0,0,583.465,77.9617,0.382132,0.924108,2.0847,0,-3.3323,-0.0116763,0,0
0,0,583.104,78.3225,0.382891,0.923794,2.06324,0,0.5322,0,0,0
0,0,582.744,78.7031,0.383374,0.923593,2.0367,0,-1.92632,0,0,0
0,0,582.381,79.0756,0.3841,0.923292,1.9866,0,-1.42918,0,0,0
0,0,581.999,79.4336,0.384575,0.923094,2.08352,0,-7.84228,0,0,0
0,0,581.663,79.8113,0.385089,0.922879,1.95643,0,0.273034,0,0,0
0,0,581.276,80.1679,0.386019,0.922491,2.05083,0,-1.25056,0,0,0
0,0,580.931,80.5303,0.386756,0.922182,2.07591,0,3.89364,0,0,0
0,0,580.562,80.8953,0.387947,0.921682,2.05723,0,-2.3507,0,0,0
0,0,580.219,81.2625,0.389332,0.921098,2.07449,0,3.54712,0,0,0
0,0,579.869,81.6203,0.39095,0.920412,1.9999,0,-0.944671,-0.0159948,0,0
0,0,579.508,81.9828,0.392537,0.919736,2.00774,0,-0.0758859,-0.0222373,0,0
0,0,579.16,82.3418,0.394468,0.91891,1.97843,0,1.14889,-0.0146486,0,0
0,0,578.82,82.7097,0.398295,0.917257,2.00249,0,-2.68414,-0.0333736,0,0
0,0,578.442,83.1668,0.403825,0.914836,1.88992,0,5.69999,-0.0519361,0,0
0,0,578.05,83.5896,0.410825,0.911714,1.79899,0,0.46394,-0.0586363,0,0
0,0,577.678,84.0388,0.421576,0.906793,1.93047,0,1.0021,-0.0869622,0,0
0,0,577.317,84.4947,0.436264,0.899819,1.92547,0,-0.634896,-0.112102,0,0
