t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 977.656, 219.403, 0.0705651, 0.997507, 0, 0, 0.0269947, 0, 0, 0
0, 0, 977.107, 219.826, 0.00769582, -0.99997, 4.99405, 0, 78.1349, 0.709513, 0, 0
0, 0, 976.621, 219.665, 0.0496102, -0.998769, 0.461509, 0, -2.4581, 0, 0, 0
0, 0, 976.117, 219.597, 0.0460699, -0.998938, 0.686657, 0, 0.649153, -0.0225959, 0, 0
0, 0, 975.588, 219.559, 0.0381759, -0.999271, 0.659975, 0, -1.92052, -0.021234, 0, 0
0, 0, 975.066, 219.588, 0.0243176, -0.999704, 0.979663, 0, -1.88304, -0.057151, 0, 0
0, 0, 974.531, 219.619, 0.00186558, 0.999998, 1.2547, 0, 14.5538, -0.181802, 0, 0
0, 0, 974.009, 219.677, 0.0456559, 0.998957, 1.21488, 0, 0.164205, -0.198318, 0, 0
0, 0, 973.508, 219.814, 0.100288, 0.994958, 1.04972, 0, -3.19973, -0.229007, 0, 0
0, 0, 973.021, 220.051, 0.168247, 0.985745, 1.0832, 0, -1.51676, -0.255139, 0, 0
0, 0, 972.582, 220.333, 0.23643, 0.971649, 0.786966, 0, -3.41978, -0.247424, 0, 0
0, 0, 972.217, 220.68, 0.296972, 0.954886, 0.914028, 0, -0.0803567, -0.246973, 0, 0
0, 0, 971.85, 221.087, 0.363437, 0.931619, 0.955129, 0, 10.1587, -0.256383, 0, 0
0, 0, 971.577, 221.52, 0.426158, 0.904649, 0.990827, 0, -0.858813, -0.28839, 0, 0
0, 0, 971.341, 222.001, 0.489272, 0.872131, 1.12612, 0, -0.442927, -0.293034, 0, 0
0, 0, 971.187, 222.491, 0.54106, 0.840984, 1.27536, 0, -4.27753, -0.259627, 0, 0
0, 0, 971.063, 223.022, 0.58644, 0.809993, 1.22254, 0, -5.55758, -0.238754, 0, 0
0, 0, 970.97, 223.516, 0.621943, 0.783062, 0.995399, 0, -6.48277, -0.192695, 0, 0
0, 0, 970.926, 224.067, 0.651004, 0.759074, 1.27723, 0, 0.258407, -0.188195, 0, 0
0, 0, 970.907, 224.567, 0.67017, 0.742208, 1.42059, 0, -1.41324, -0.12833, 0, 0
0, 0, 970.896, 225.093, 0.684319, 0.729183, 1.5153, 0, 0.874457, -0.09434, 0, 0
0, 0, 970.888, 225.643, 0.696149, 0.717897, 1.27878, 0, 4.36497, -0.0737951, 0, 0
