t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 948.401, 213.834, 0.999955, -0.00949337, 0, 0, 0.0126628, 0, 0, 0
0, 0, 948.907, 213.907, 0.999979, -0.00642812, 0.537244, 0, 0.406273, 0.0140896, 0, 0
0, 0, 949.458, 213.912, 0.999976, 0.00689552, 1.19915, 0, 0.141637, 0.0624061, 0, 0
0, 0, 949.973, 213.946, 0.999652, 0.026372, 1.03667, 0, 0.496394, 0.0971821, 0, 0
0, 0, 950.563, 214.004, 0.998575, 0.0533597, 1.31002, 0, -0.311977, 0.125992, 0, 0
0, 0, 951.106, 214.114, 0.996257, 0.0864355, 1.16809, 0, 1.09382, 0.146825, 0, 0
0, 0, 951.594, 214.292, 0.992289, 0.123942, 1.16003, 0, 1.53588, 0.174821, 0, 0
0, 0, 952.081, 214.521, 0.98462, 0.17471, 1.09245, 0, 12.9387, 0.234053, 0, 0
0, 0, 952.524, 214.835, 0.971833, 0.23567, 1.15706, 0, -0.193841, 0.274715, 0, 0
0, 0, 952.975, 215.205, 0.951513, 0.307609, 1.06583, 0, 0.215471, 0.260681, 0, 0
0, 0, 953.306, 215.613, 0.929294, 0.369342, 1.06535, 0, 0.498514, 0.256209, 0, 0
0, 0, 953.587, 216.09, 0.901714, 0.432333, 1.05985, 0, 5.71336, 0.240306, 0, 0
0, 0, 953.827, 216.621, 0.867848, 0.49683, 0.978063, 0, -3.1264, 0.241713, 0, 0
0, 0, 953.98, 217.1, 0.838359, 0.545118, 1.04994, 0, -0.55993, 0.215718, 0, 0
0, 0, 954.109, 217.628, 0.810298, 0.586018, 1.08041, 0, 1.26858, 0.192304, 0, 0
0, 0, 954.191, 218.169, 0.782616, 0.622504, 1.16319, 0, 0.372126, 0.166756, 0, 0
0, 0, 954.23, 218.703, 0.760018, 0.649902, 1.20678, 0, -1.08174, 0.158292, 0, 0
0, 0, 954.259, 219.204, 0.743556, 0.668673, 1.35663, 0, 0.0925104, 0.108433, 0, 0
0, 0, 954.298, 219.795, 0.729496, 0.683985, 1.29046, 0, 1.20138, 0.0814241, 0, 0
0, 0, 954.3, 220.312, 0.721488, 0.692427, 1.41555, 0, -0.266656, 0.0670702, 0, 0
0, 0, 954.305, 220.842, 0.714859, 0.699268, 1.43629, 0, -2.37986, 0.0501396, 0, 0
0, 0, 954.282, 221.409, 0.709363, 0.704843, 1.62076, 0, 1.01348, 0.0303184, 0, 0
0, 0, 954.268, 221.953, 0.705951, 0.70826, 1.55432, 0, -6.86083, 0.0249398, 0, 0
0, 0, 954.275, 222.478, 0.703476, 0.710719, 1.94277, 0, 2.65879, 0.0275208, 0, 0
0, 0, 954.271, 223.048, 0.701985, 0.712192, 1.84801, 0, 3.47384, 0.010089, 0, 0
0, 0, 954.27, 223.703, 0.699781, 0.714358, 1.72353, 0, 0.705559, 0.0128348, 0, 0
0, 0, 954.244, 224.261, 0.697904, 0.716192, 1.87673, 0, -2.30423, 0.0151106, 0, 0
0, 0, 954.244, 224.809, 0.69755, 0.716536, 1.90515, 0, 3.09127, 0, 0, 0
0, 0, 954.217, 225.37, 0.696851, 0.717216, 1.76955, 0, 3.44429, 0, 0, 0
0, 0, 954.209, 226.01, 0.696695, 0.717368, 1.89592, 0, -0.707999, 0, 0, 0
0, 0, 954.192, 226.63, 0.696763, 0.717301, 1.78866, 0, 2.06302, 0, 0, 0
0, 0, 954.185, 227.161, 0.696621, 0.71744, 1.80934, 0, 0.164946, 0, 0, 0
0, 0, 954.167, 227.773, 0.697315, 0.716765, 1.69938, 0, 2.04, 0, 0, 0
0, 0, 954.145, 228.349, 0.698943, 0.715177, 1.83829, 0, -1.40656, -0.0133511, 0, 0
0, 0, 954.128, 228.869, 0.700082, 0.714063, 1.90843, 0, -1.46516, -0.0211649, 0, 0
