t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 822.805, 157.437, 0.0722682, 0.997385, 0, 0, 0.0181343, 0, 0, 0
0, 0, 823.7, 157.705, 0.0730005, 0.997332, -2.23492, 0, -4.41153, 0, 0, 0
0, 0, 824.399, 157.905, 0.0738476, 0.99727, -3.26063, 0, -5.46758, 0, 0, 0
0, 0, 825.316, 158.165, 0.0716909, 0.997427, -4.37812, 0, -5.62572, 0.0115549, 0, 0
0, 0, 826.051, 158.358, 0.0515365, 0.998671, -4.1118, 0, 4.80343, 0.141418, 0, 0
0, 0, 826.569, 158.46, 0.0392047, 0.999231, -3.01917, 0, 5.77261, 0.149221, 0, 0
0, 0, 826.194, 158.125, 0.0421043, 0.999113, 1.96116, 0, 2.13851, -0.100661, 0, 0
0, 0, 825.659, 158.135, 0.0247153, 0.999695, 0.522243, 0, 0.0802132, 0.0419376, 0, 0
0, 0, 825.092, 158.06, 0.00308326, -0.999995, 0.772735, 0, 0.305082, 0.0810679, 0, 0
0, 0, 824.583, 157.981, 0.0329517, -0.999457, 0.907178, 0, -0.0696306, 0.107511, 0, 0
0, 0, 824.005, 157.805, 0.0682006, -0.997672, 1.05341, 0, -0.0421826, 0.122132, 0, 0
0, 0, 823.351, 157.562, 0.109216, -0.994018, 1.19732, 0, 0.121293, 0.141358, 0, 0
0, 0, 822.894, 157.357, 0.141423, -0.989949, 1.25974, 0, 0.213166, 0.164221, 0, 0
0, 0, 822.433, 157.106, 0.177784, -0.98407, 1.31357, 0, 0.205902, 0.184394, 0, 0
0, 0, 821.959, 156.765, 0.217308, -0.976103, 1.45812, 0, -0.0724495, 0.203659, 0, 0
0, 0, 821.496, 156.378, 0.258638, -0.965974, 1.51236, 0, 0.284972, 0.212318, 0, 0
0, 0, 821.053, 155.952, 0.30255, -0.953134, 1.54243, 0, 0.297212, 0.230448, 0, 0
0, 0, 820.629, 155.448, 0.348437, -0.937332, 1.65501, 0, 0.295193, 0.244494, 0, 0
0, 0, 820.255, 154.88, 0.396408, -0.918074, 1.69986, 0, 0.0898176, 0.25776, 0, 0
