t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 822.855, 157.465, 0.0728153, 0.997345, 0, 0, -0.0724914, 0, 0, 0
0, 0, 823.499, 157.675, 0.0747057, 0.997206, -1.90381, 0, -4.80736, 0, 0, 0
0, 0, 824.081, 157.78, 0.0744014, 0.997228, -2.70738, 0, -3.60889, 0, 0, 0
0, 0, 824.887, 157.98, 0.0720206, 0.997403, -3.74781, 0, -5.9797, 0.0168907, 0, 0
0, 0, 825.849, 158.32, 0.056701, 0.998391, -4.77415, 0, -4.68807, 0.110015, 0, 0
0, 0, 826.498, 158.466, 0.0440823, 0.999028, -3.90719, 0, 8.83009, 0.13506, 0, 0
0, 0, 827.266, 158.491, 0.0213716, 0.999772, -1.78238, 0, 4.94563, 0.103854, 0, 0
0, 0, 826.873, 157.986, 0.0262232, 0.999656, 1.70848, 0, 4.85998, -0.0432547, 0, 0
0, 0, 826.344, 157.965, 0.0377565, 0.999287, 2.43835, 0, 3.03114, -0.0948677, 0, 0
0, 0, 825.868, 158.134, 0.0328723, 0.99946, 0.419451, 0, 0.177237, 0.0301423, 0, 0
0, 0, 822.855, 157.465, 0.0728153, 0.997345, 0, 0, -0.0724914, 0, 0, 0
0, 0, 823.499, 157.675, 0.0747057, 0.997206, -1.90381, 0, -4.80736, 0, 0, 0
0, 0, 824.081, 157.78, 0.0744014, 0.997228, -2.70738, 0, -3.60889, 0, 0, 0
0, 0, 824.887, 157.98, 0.0720206, 0.997403, -3.74781, 0, -5.9797, 0.0168907, 0, 0
0, 0, 825.849, 158.32, 0.056701, 0.998391, -4.77415, 0, -4.68807, 0.110015, 0, 0
0, 0, 826.498, 158.466, 0.0440823, 0.999028, -3.90719, 0, 8.83009, 0.13506, 0, 0
0, 0, 827.266, 158.491, 0.0213716, 0.999772, -1.78238, 0, 4.94563, 0.103854, 0, 0
0, 0, 826.873, 157.986, 0.0262232, 0.999656, 1.70848, 0, 4.85998, -0.0432547, 0, 0
0, 0, 826.344, 157.965, 0.0377565, 0.999287, 2.43835, 0, 3.03114, -0.0948677, 0, 0
0, 0, 825.868, 158.134, 0.0328723, 0.99946, 0.419451, 0, 0.177237, 0.0301423, 0, 0
