t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 828.681, 159.78, 0.0700639, 0.997543, 0, 0, 0.00870417, 0, 0, 0
0, 0, 829.213, 159.919, 0.0661342, 0.997811, -6.00981, 0, -57.2041, 0.0869951, 0, 0
0, 0, 829.769, 160.069, 0.0604717, 0.99817, -5.57395, 0, 13.2928, 0.114837, 0, 0
0, 0, 830.564, 160.139, 0.0403879, 0.999184, -5.38321, 0, -28.1209, 0.341009, 0, 0
0, 0, 831.124, 160.215, 0.013628, 0.999907, -5.66945, 0, 1.22544, 0.539738, 0, 0
0, 0, 831.612, 159.985, 0.0167921, -0.999859, -5.58974, 0, 0.914895, 0.599977, 0, 0
0, 0, 831.336, 159.555, 0.0323005, -0.999478, 0.406784, 0, 1.3165, 0, 0, 0
0, 0, 830.815, 159.498, 0.0366929, -0.999327, 0.700704, 0, -2.12346, 0.014486, 0, 0
0, 0, 830.294, 159.466, 0.039718, -0.999211, 0.887924, 0, 0.730958, 0, 0, 0
0, 0, 829.778, 159.433, 0.0416818, -0.999131, 1.0286, 0, -0.522944, 0, 0, 0
0, 0, 829.247, 159.379, 0.0437532, -0.999042, 1.14528, 0, -1.71326, 0.0154949, 0, 0
0, 0, 828.705, 159.319, 0.0481326, -0.998841, 1.07647, 0, 1.19317, 0.0268006, 0, 0
0, 0, 828.156, 159.237, 0.0530588, -0.998591, 1.10099, 0, 0.500008, 0.021243, 0, 0
0, 0, 827.66, 159.165, 0.0591068, -0.998252, 1.14429, 0, -4.3744, 0.027059, 0, 0
0, 0, 827.125, 159.101, 0.0678723, -0.997694, 1.10159, 0, 0.788184, 0.0392895, 0, 0
0, 0, 826.616, 159.023, 0.0774494, -0.996996, 1.14574, 0, -0.781442, 0.042334, 0, 0
0, 0, 826.116, 158.918, 0.0894209, -0.995994, 1.18698, 0, 1.37092, 0.0589883, 0, 0
0, 0, 825.602, 158.792, 0.102517, -0.994731, 1.20612, 0, -1.49018, 0.0636405, 0, 0
0, 0, 825.078, 158.662, 0.117268, -0.9931, 1.16897, 0, -0.476649, 0.0616965, 0, 0
0, 0, 824.568, 158.515, 0.136682, -0.990615, 1.22659, 0, -2.63391, 0.0857374, 0, 0
0, 0, 824.022, 158.311, 0.159826, -0.987145, 1.16058, 0, 0.69149, 0.0992979, 0, 0
0, 0, 823.523, 158.087, 0.182614, -0.983185, 1.26165, 0, 1.14436, 0.112178, 0, 0
0, 0, 823.037, 157.844, 0.210994, -0.977487, 1.35473, 0, 2.54799, 0.157698, 0, 0
0, 0, 822.571, 157.547, 0.243849, -0.969813, 1.29738, 0, 0.906827, 0.155865, 0, 0
0, 0, 822.125, 157.238, 0.276735, -0.960946, 1.31896, 0, 1.39634, 0.153385, 0, 0
0, 0, 821.705, 156.892, 0.309438, -0.95092, 1.18809, 0, -1.40633, 0.149283, 0, 0
0, 0, 821.351, 156.539, 0.338768, -0.94087, 1.22655, 0, -1.67788, 0.142451, 0, 0
0, 0, 821.003, 156.174, 0.369337, -0.929296, 1.3682, 0, 1.12719, 0.163592, 0, 0
0, 0, 820.687, 155.774, 0.401114, -0.916028, 1.23769, 0, -1.07325, 0.160067, 0, 0
0, 0, 820.383, 155.331, 0.432672, -0.901552, 1.32509, 0, -1.18818, 0.144276, 0, 0
0, 0, 820.078, 154.854, 0.465586, -0.885003, 1.3808, 0, -0.969935, 0.178828, 0, 0
0, 0, 819.826, 154.403, 0.492777, -0.870156, 1.54232, 0, -2.14224, 0.175836, 0, 0
