t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, 828.746, 159.732, 0.0701151, 0.997539, 0, 0, -0.0138619, 0, 0, 0
0, 0, 829.521, 159.262, 0.0468693, 0.998901, -4.24721, 0, -6.40232, 0.234524, 0, 0
0, 0, 830.235, 159.069, 0.0247941, 0.999693, -8.03079, 0, -58.0762, 0.47758, 0, 0
0, 0, 830.838, 159.194, 0.00785613, 0.999969, -11.2235, 0, -66.7641, 0.636298, 0, 0
0, 0, 831.68, 159.338, 0.0119287, -0.999929, -15.4806, 0, -94.1745, 0.7527, 0, 0
0, 0, 832.473, 159.447, 0.0287822, -0.999586, -7.45154, 0, 67.1426, 0.323509, 0, 0
0, 0, 831.723, 159.342, 0.00941374, -0.999956, 5.75246, 0, -37.1896, -0.295049, 0, 0
0, 0, 831.206, 159.334, 0.0230572, -0.999734, 0.836614, 0, 1.41127, 0, 0, 0
0, 0, 830.655, 159.313, 0.0249809, -0.999688, 1.11439, 0, 2.3703, 0, 0, 0
0, 0, 830.106, 159.289, 0.0264736, -0.99965, 1.07728, 0, -0.433264, 0, 0, 0
0, 0, 829.589, 159.261, 0.0293707, -0.999569, 1.16996, 0, -1.51932, 0.0225797, 0, 0
0, 0, 829.026, 159.221, 0.0327558, -0.999463, 1.31149, 0, 2.55981, 0.0179963, 0, 0
0, 0, 828.464, 159.154, 0.0391271, -0.999234, 1.3212, 0, 3.20154, 0.0225447, 0, 0
0, 0, 827.967, 159.089, 0.0470483, -0.998893, 1.14814, 0, 5.00473, 0.0366416, 0, 0
0, 0, 827.424, 159.013, 0.0578532, -0.998325, 1.26254, 0, 0.0663983, 0.0493426, 0, 0
0, 0, 826.89, 158.924, 0.0702742, -0.997528, 1.22463, 0, -0.164136, 0.0609129, 0, 0
0, 0, 826.339, 158.843, 0.0828325, -0.996563, 1.27682, 0, -1.43698, 0.0599882, 0, 0
0, 0, 825.839, 158.742, 0.0952981, -0.995449, 1.36013, 0, 0.147976, 0.0623085, 0, 0
0, 0, 825.341, 158.607, 0.109186, -0.994021, 1.30841, 0, -0.622386, 0.0763145, 0, 0
0, 0, 824.846, 158.49, 0.12379, -0.992308, 1.16544, 0, -1.61859, 0.0906105, 0, 0
0, 0, 824.369, 158.333, 0.141047, -0.990003, 1.14739, 0, -4.93825, 0.0957359, 0, 0
