t_sec, t_nanosec,x,y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,823.072265625,157.546585083008,0.746583,-0.665292,0,0,0,0,0,0
0,0,823.499572753906,157.674957275391,0.758759,-0.651371,-0.421036,0,-0.0376619,0.0443333,0,0
0,0,824.080383300781,157.779541015625,0.783235,-0.621725,-0.758234,0,-0.551543,0.145256,0,0
0,0,824.88671875,157.980239868164,0.814432,-0.580259,-1.28177,0,-2.21811,0.246464,0,0
0,0,825.848571777344,158.320373535156,0.844695,-0.535248,-1.87854,0,-2.19221,0.285828,0,0
0,0,826.497436523438,158.466995239258,0.866157,-0.499772,-2.06693,0,-0.128379,0.273237,0,0
0,0,826.980834960938,158.547821044922,0.882626,-0.470077,-2.3819,0,-2.56583,0.215167,0,0
0,0,827.266967773438,158.491226196289,0.893204,-0.449651,-2.65418,0,-1.57811,0.131366,0,0
0,0,827.363586425781,158.351806640625,0.896437,-0.443172,-2.79616,0,-0.0258426,0.0593074,0,0
0,0,827.228942871094,158.18864440918,0.894157,-0.447754,-3.11718,0,0.486467,-0.056978,0,0
0,0,826.875610351562,157.986557006836,0.88902,-0.457869,-3.28653,0,-2.52107,-0.119848,0,0
0,0,826.346557617188,157.964920043945,0.881237,-0.472674,-3.25508,0,2.1204,-0.166942,0,0
0,0,826.120239257813,158.056060791016,0.871863,-0.48975,-3.32131,0,-1.61541,-0.194532,0,0
0,0,826.091796875,158.123794555664,0.860881,-0.508806,-3.44289,0,-3.63575,-0.223244,0,0
0,0,826.130004882813,158.147232055664,0.848768,-0.528766,-3.60012,0,1.72642,-0.230993,0,0
0,0,826.089660644531,158.14079284668,0.835961,-0.548788,-3.82187,0,-3.09439,-0.245084,0,0
0,0,826.033142089844,158.140823364258,0.82293,-0.568143,-4.04815,0,-3.80057,-0.232119,0,0
0,0,825.954040527344,158.133819580078,0.809618,-0.586957,-4.10671,0,2.48064,-0.231459,0,0
