t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,565.875,171.653,0.72278,-0.691078,0,0,-0.0163609,0,0,0
0,0,566.509,171.832,0.727153,-0.686475,0.5,0,13.5962,0.0713246,0,0
0,0,566.422,172.348,0.734483,-0.678627,0.6,0,-13.6809,0.0880314,0,0
0,0,566.288,173.305,0.738355,-0.674413,0.9,0,4.65267,0.0552372,0,0
0,0,566.274,173.858,0.739495,-0.673162,1.1,0,-8.66792,0.0428969,0,0
0,0,566.309,174.515,0.740523,-0.672031,1.6,0,-4.43936,0.0312749,0,0
0,0,566.287,175.549,0.74198,-0.670422,2,0,-46.9452,0.0355818,0,0
0,0,566.237,176.803,0.743349,-0.668904,2,0,-9.64898,0.0335267,0,0
0,0,566.085,178.022,0.731459,-0.681886,2,0,1.82435,-0.222056,0,0
0,0,566.307,178.957,0.716444,-0.697644,2,0,2.68881,-0.291458,0,0
0,0,566.24,178.172,0.724797,-0.688963,2,0,16.9235,0.270074,0,0
0,0,566.229,177.634,0.726395,-0.687277,2,0,3.41329,0,0,0
0,0,566.264,177.095,0.727076,-0.686557,2,0,1.46648,-0.0101772,0,0
0,0,566.308,176.549,0.727166,-0.686461,2,0,0.878904,0,0,0
0,0,566.318,176.047,0.728153,-0.685415,2,0,2.73583,0,0,0
0,0,566.37,175.495,0.72845,-0.685099,2,0,-0.0528608,0,0,0
0,0,566.411,174.967,0.728681,-0.684854,2,0,0.440594,0,0,0
0,0,566.459,174.449,0.728593,-0.684947,2,0,0.116457,0,0,0
0,0,566.484,173.88,0.728932,-0.684587,2,0,6.69483,0,0,0
0,0,566.522,173.377,0.728941,-0.684577,2,0,4.59682,0,0,0
0,0,566.559,172.824,0.728951,-0.684566,2,0,4.48127,0,0,0
0,0,566.598,172.309,0.728604,-0.684935,2,0,-3.36796,0,0,0
0,0,566.638,171.707,0.727732,-0.685862,2,0,5.30321,-0.0149198,0,0
0,0,566.667,171.203,0.727797,-0.685793,2,0,-2.14866,0,0,0
0,0,566.703,170.656,0.726926,-0.686715,2,0,0.00833657,-0.0107183,0,0
0,0,566.742,170.063,0.727139,-0.686491,2,0,-3.88364,0,0,0
0,0,566.786,169.488,0.726364,-0.68731,2,0,-2.73856,0,0,0
0,0,566.811,168.978,0.726525,-0.68714,2,0,5.99105,-0.0103411,0,0
0,0,566.847,168.437,0.726001,-0.687694,2,0,0.128353,0,0,0
0,0,566.877,167.904,0.725625,-0.68809,2,0,6.62373,-0.0159364,0,0
0,0,566.915,167.39,0.72538,-0.688348,2,0,3.32576,0.0123156,0,0
0,0,566.94,166.757,0.724696,-0.689069,2,0,-3.21538,0,0,0
0,0,566.979,166.183,0.724598,-0.689171,2,0,0.586897,0,0,0
0,0,567.004,165.614,0.723575,-0.690245,2,0,-5.00881,-0.0110313,0,0
0,0,567.044,165.08,0.723671,-0.690145,2,0,-1.55716,0,0,0
0,0,567.065,164.537,0.722978,-0.690871,2,0,-1.06794,0,0,0
0,0,567.099,163.977,0.723014,-0.690833,2,0,-2.40187,0,0,0
