t_sec, t_nanosec, x, y, heading_real, heading_imag, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0,0,968.978,244.538,0.0630717,-0.998009,0.817334,0,1.35905,0,0,0
0,0,968.486,244.453,0.064179,-0.997938,1.01204,0,-1.00511,0,0,0
0,0,967.945,244.385,0.0654018,-0.997859,1.04217,0,-1.01268,0,0,0
0,0,967.4,244.319,0.0668258,-0.997765,1.07924,0,-1.87501,0,0,0
0,0,966.889,244.242,0.0684223,-0.997656,1.07205,0,0.344234,0,0,0
0,0,966.353,244.169,0.0694573,-0.997585,1.24969,0,3.54886,0,0,0
0,0,965.811,244.075,0.0709757,-0.997478,1.25311,0,-0.591985,0,0,0
0,0,965.288,244.01,0.0720146,-0.997404,1.25377,0,0.256451,0,0,0
0,0,964.754,243.909,0.0733272,-0.997308,1.38234,0,-2.24424,0,0,0
0,0,964.243,243.871,0.0737523,-0.997277,1.42298,0,1.00764,0,0,0
0,0,963.675,243.771,0.0751944,-0.997169,1.55455,0,0.792558,0.01114,0,0
0,0,963.156,243.719,0.0752508,-0.997165,1.49521,0,-2.92454,0,0,0
0,0,962.64,243.622,0.0770911,-0.997024,1.52298,0,-0.170587,0,0,0
0,0,962.103,243.533,0.0767306,-0.997052,1.53504,0,0.692161,0,0,0
0,0,961.56,243.445,0.0780595,-0.996949,1.59636,0,0.390747,0,0,0
0,0,961.033,243.359,0.078256,-0.996933,1.70552,0,4.57993,0,0,0
0,0,960.477,243.258,0.0795544,-0.996831,1.61101,0,-0.296701,0,0,0
0,0,959.924,243.189,0.0796075,-0.996826,1.8089,0,0.720752,0,0,0
0,0,959.378,243.087,0.0796224,-0.996825,1.55003,0,-2.51294,0,0,0
0,0,958.809,242.999,0.0794715,-0.996837,1.79783,0,1.91573,0,0,0
0,0,958.269,242.92,0.0798507,-0.996807,1.7079,0,3.73326,0,0,0
0,0,957.701,242.809,0.0807028,-0.996738,1.55159,0,0.646857,0.011147,0,0
0,0,957.204,242.734,0.0793047,-0.99685,1.77661,0,0.433592,0,0,0
0,0,956.685,242.646,0.0792107,-0.996858,1.77518,0,2.22039,0,0,0
0,0,956.121,242.57,0.0781565,-0.996941,1.71505,0,-2.50132,-0.0101775,0,0
0,0,955.549,242.493,0.0779358,-0.996958,1.81959,0,0.352514,0,0,0
0,0,955.058,242.384,0.0770311,-0.997029,1.68274,0,4.22551,0,0,0
0,0,954.525,242.327,0.0771713,-0.997018,1.73925,0,0.798476,0,0,0
0,0,954.033,242.22,0.0761116,-0.997099,1.82931,0,1.69632,0,0,0
0,0,953.495,242.16,0.0763509,-0.997081,1.83519,0,-1.80916,0,0,0
0,0,952.926,242.044,0.0755568,-0.997141,1.76451,0,9.90467,0,0,0
0,0,952.412,241.957,0.0744867,-0.997222,1.94641,0,15.2436,0,0,0
0,0,951.861,241.879,0.0748786,-0.997193,2.02581,0,-1.69251,0,0,0
0,0,951.344,241.798,0.0740648,-0.997253,1.52702,0,-0.592747,-0.0146616,0,0
0,0,950.828,241.692,0.0734475,-0.997299,2.04881,0,-2.8647,0,0,0
0,0,950.329,241.642,0.0724939,-0.997369,1.77283,0,-1.04566,-0.0157613,0,0
0,0,949.814,241.549,0.0715195,-0.997439,1.87255,0,-3.40302,-0.0102049,0,0
0,0,949.283,241.466,0.0708094,-0.99749,1.8234,0,2.62353,0,0,0
0,0,948.749,241.403,0.0692667,-0.997598,1.87985,0,-0.599857,0,0,0
0,0,948.244,241.342,0.0690796,-0.997611,1.73302,0,-7.70202,-0.0149816,0,0
0,0,947.738,241.258,0.0677825,-0.9977,1.69681,0,-1.93791,-0.0135354,0,0
0,0,947.212,241.213,0.0675502,-0.997716,1.61486,0,-3.12822,0,0,0
0,0,946.718,241.104,0.0665739,-0.997782,1.76063,0,5.79671,0,0,0
0,0,946.172,241.079,0.066076,-0.997815,1.9371,0,-0.843436,0,0,0
0,0,945.682,240.973,0.0649366,-0.997889,1.68858,0,-2.61753,0,0,0
0,0,945.14,240.911,0.0646991,-0.997905,1.86197,0,-3.08115,0,0,0
0,0,944.617,240.834,0.0643221,-0.997929,1.78449,0,5.07372,0,0,0
0,0,944.054,240.811,0.0645512,-0.997914,1.60037,0,-5.63302,-0.0110004,0,0
0,0,943.553,240.695,0.0648934,-0.997892,1.67761,0,-0.0157992,0,0,0
0,0,943.053,240.645,0.0645434,-0.997915,1.8253,0,1.83003,0,0,0
0,0,942.536,240.572,0.0645697,-0.997913,1.88057,0,8.03877,0,0,0
0,0,941.965,240.513,0.0651416,-0.997876,2.21264,0,19.1228,0.0143846,0,0
0,0,941.446,240.436,0.0661625,-0.997809,2.04285,0,15.4412,0.0161256,0,0
0,0,940.874,240.371,0.0662538,-0.997803,1.6703,0,-1.48825,0,0,0
0,0,940.358,240.308,0.066843,-0.997764,2.18681,0,-1.11289,0,0,0
0,0,939.791,240.217,0.0671194,-0.997745,1.79974,0,-4.22853,0,0,0
0,0,939.266,240.164,0.0672872,-0.997734,1.70131,0,-10.146,0,0,0
0,0,938.752,240.063,0.0669882,-0.997754,1.74649,0,7.94682,0,0,0
0,0,938.172,239.996,0.0672348,-0.997737,1.79171,0,5.39717,-0.0184544,0,0
0,0,937.614,239.914,0.0680728,-0.99768,1.96952,0,9.72709,0,0,0
0,0,937.078,239.866,0.068125,-0.997677,2.04816,0,11.8993,0.0134277,0,0
0,0,936.515,239.774,0.0682847,-0.997666,2.01603,0,6.80901,0,0,0
0,0,935.961,239.711,0.06833,-0.997663,2.20036,0,2.98881,0,0,0
0,0,935.404,239.613,0.0688027,-0.99763,1.99392,0,3.16804,0,0,0
0,0,934.873,239.536,0.0689699,-0.997619,1.66613,0,-2.72197,0,0,0
0,0,934.327,239.449,0.0693764,-0.997591,1.63663,0,-7.27615,0,0,0
0,0,933.781,239.37,0.069272,-0.997598,1.82605,0,-4.1043,0.0104601,0,0
0,0,933.236,239.312,0.0696013,-0.997575,1.79794,0,0.0940379,0.0196486,0,0
0,0,932.696,239.214,0.0687184,-0.997636,1.98708,0,2.48556,-0.0127657,0,0
0,0,932.117,239.165,0.0696939,-0.997568,1.96336,0,-6.67848,0,0,0
0,0,931.584,239.049,0.0693311,-0.997594,1.89072,0,-3.09859,0,0,0
0,0,931.039,239.007,0.069829,-0.997559,1.84768,0,0.768594,0,0,0
0,0,930.47,238.924,0.0695498,-0.997579,1.93023,0,-0.482882,0,0,0
0,0,929.95,238.857,0.0694959,-0.997582,1.96134,0,6.34819,0,0,0
0,0,929.381,238.763,0.0700605,-0.997543,1.78628,0,-2.11526,0,0,0
0,0,928.848,238.67,0.0700383,-0.997544,2.10942,0,10.2936,0,0,0
0,0,928.323,238.606,0.0702443,-0.99753,1.68769,0,2.02732,0,0,0
0,0,927.743,238.5,0.0705564,-0.997508,1.99616,0,-0.252086,0,0,0
0,0,927.197,238.439,0.0709013,-0.997483,1.62722,0,3.76118,0,0,0
0,0,926.69,238.358,0.0708824,-0.997485,1.99134,0,5.57721,0,0,0
0,0,926.144,238.296,0.0710315,-0.997474,1.80292,0,-0.153797,0,0,0
0,0,925.579,238.2,0.0706112,-0.997504,2.03019,0,2.89906,0,0,0
0,0,925.054,238.142,0.0707361,-0.997495,1.96811,0,5.83988,0,0,0
0,0,924.551,238.051,0.0708191,-0.997489,1.99233,0,-1.81438,0,0,0
0,0,924.014,237.974,0.0713349,-0.997452,2.04727,0,13.9643,0.012287,0,0
0,0,923.48,237.918,0.0711117,-0.997468,1.54603,0,-9.96382,0,0,0
0,0,922.918,237.833,0.0712398,-0.997459,2.02932,0,-3.89855,0,0,0
0,0,922.365,237.756,0.0715322,-0.997438,1.78731,0,-1.71839,0.0121809,0,0
0,0,921.825,237.635,0.0712537,-0.997458,2.07032,0,10.975,0,0,0
0,0,921.3,237.602,0.071931,-0.99741,1.69418,0,-2.58645,0,0,0
0,0,920.758,237.476,0.0712281,-0.99746,1.94653,0,-0.882873,0,0,0
0,0,920.248,237.425,0.0715953,-0.997434,1.61698,0,0.664608,0,0,0
0,0,919.697,237.342,0.0724439,-0.997373,2.05493,0,-0.406275,0,0,0
0,0,919.194,237.249,0.0728353,-0.997344,1.67412,0,1.91893,0,0,0
0,0,918.664,237.193,0.0721491,-0.997394,1.98175,0,2.18363,0,0,0
0,0,918.165,237.102,0.0722672,-0.997385,1.66963,0,2.00461,0,0,0
0,0,917.655,237.034,0.0731378,-0.997322,2.06362,0,-1.10462,0.012867,0,0
0,0,917.09,236.951,0.0725235,-0.997367,1.72321,0,-2.67863,0,0,0
0,0,916.519,236.878,0.0732666,-0.997312,1.56144,0,2.07442,0,0,0
0,0,915.992,236.782,0.0743277,-0.997234,1.11016,0,8.32717,0.010693,0,0
0,0,915.497,236.698,0.0733654,-0.997305,0.399544,0,8.87787,0,0,0
